,penalty,C,rank,test_means,test_stds,train_means,train_stds
0,l2,4.269,42,0.894932692634905,0.04684017602109663,0.9772963300482654,0.005834112401875361
1,l2,1.039,78,0.8114758187670537,0.05806319737680014,0.8763784898293266,0.021850117948194994
2,l2,3.217,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
3,l1,4.638000000000001,143,0.7634628152370209,0.0406535201306907,0.9869845565210398,0.01100455900238741
4,l1,2.971,161,0.7123583856320025,0.053549409362204266,0.966549576680813,0.010925528519362102
5,l2,7.62,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
6,l1,0.855,190,0.6310489407339396,0.03467532335805148,0.7920995914776598,0.013597119872047043
7,l1,9.818999999999999,125,0.771226104088449,0.031094604680641798,1.0,0.0
8,l1,7.573,95,0.7734021756055756,0.029183510364546254,1.0,0.0
9,l2,8.674,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
10,l1,5.3660000000000005,138,0.7680882633590211,0.025442353218410492,0.9934649542207673,0.009509726514038816
11,l1,8.317,85,0.7795855152529789,0.02703884493585293,1.0,0.0
12,l2,5.48,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
13,l2,7.414000000000001,24,0.904437027011563,0.02895205572949095,0.9868256907757305,0.004046660253470718
14,l1,6.9030000000000005,95,0.7734021756055756,0.029183510364546254,1.0,0.0
15,l2,5.412000000000001,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
16,l1,5.831,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
17,l1,0.14400000000000002,198,0.5496110597782808,0.11306219565304759,0.5575062818184262,0.02066473931126636
18,l2,9.895,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
19,l1,5.8660000000000005,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
20,l1,2.576,169,0.6989684784833594,0.048157308805504756,0.9516699646845902,0.014524858618914338
21,l1,6.897,95,0.7734021756055756,0.029183510364546254,1.0,0.0
22,l2,8.151,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
23,l1,9.641,125,0.771226104088449,0.031094604680641798,1.0,0.0
24,l1,3.4859999999999998,157,0.7297845814841052,0.04417148224498476,0.9774601816423811,0.012573647395202071
25,l2,6.821000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
26,l2,5.525,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
27,l2,7.106000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
28,l1,6.756,95,0.7734021756055756,0.029183510364546254,1.0,0.0
29,l1,0.199,197,0.5736135443303012,0.10125340733269475,0.5888402412350613,0.026722429302146706
30,l1,8.754999999999999,85,0.7795855152529789,0.02703884493585293,1.0,0.0
31,l1,8.291,85,0.7795855152529789,0.02703884493585293,1.0,0.0
