Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svcrbf,97.23892950751828,98.44747133740142,87.52635164162439,86.43514094011061,2.525459126067042,94.29490022172948,96.78775875238156,74.29202074826179,71.71286050656524,12.332941192458051,93.04347826086958,96.12001393107036,66.37876209628902,62.54439037597456,2.299269409750216
svclin,99.90899894238288,99.9493670886076,99.5510999721526,99.50253250717918,0.4541460076622838,94.66075388026609,97.01255255231696,74.71428571428571,72.19289188995837,4.62643011771518,94.39613526570048,96.89121657484232,71.60162601626016,68.54987024067864,3.7263497457530574
logistic,98.54356922793949,99.18419011210722,93.21611777680964,92.62172790973769,1.336620976813691,94.41537324464154,96.8557458157448,74.94234031385733,72.41859836784751,11.207888039322984,92.56038647342996,95.83497371997468,65.14532759559974,61.14260846202494,2.678099632571808
random,100.0,100.0,100.0,100.0,0.0,95.26829268292684,97.43782770289138,69.06609686609686,70.89068747995273,6.354033709808821,94.39613526570048,96.97617493472583,61.80645161290322,64.89126017322022,1.9727549772123885
knn,97.39081252586564,98.5623750219757,85.90126483841725,84.8821486996508,0.7354705630997479,95.99482631189947,97.7988107966265,77.76216960644102,76.35953900432285,5.55487785223647,94.20289855072464,96.8357084443739,65.46778711484595,64.11935399698929,4.158748403102598
xgb,100.0,100.0,100.0,100.0,0.0,96.47967479674796,98.0547954460998,81.44807361715036,79.8184699124811,4.263879309739824,94.10628019323671,96.74605224938408,68.73013449906902,65.81221710142314,1.820448171402722
svcrbf,97.6943026624362,98.70987577539807,89.16271280601073,88.02827115068337,2.309632140985272,94.90243902439023,97.14774221987422,75.8985383985384,73.34015353406326,8.539987459012075,93.33333333333334,96.2880842745014,67.26459719142647,63.61563306974288,1.466593722047744
svclin,99.8179519014117,99.89867715817084,99.10446098662908,99.00995576113948,0.6889534665730018,95.99704360679968,97.77968684196996,79.353471118177,77.54659342509277,7.553069701062962,94.0096618357488,96.65000705723403,71.65289731764861,68.4534703892908,6.147726373604207
logistic,98.60435922196164,99.21817486066638,93.50302071741352,92.94491090898433,1.8172270721737265,94.78270509977828,97.06396326540916,76.32850550533477,73.88407175875082,9.300799484263594,92.56038647342996,95.79457092780322,67.77826024026632,64.2557094060103,1.34416017899561
random,100.0,100.0,100.0,100.0,0.0,95.63045084996304,97.63271044955644,71.32324890945581,72.91771947853114,9.166519600288895,94.39613526570048,96.97617493472583,61.80645161290322,64.89126017322022,1.9727549772123885
knn,96.8448061801628,98.25912105998064,83.1655732379159,81.7453006553901,2.5430614692024456,96.23798965262378,97.944781735456,77.42952367051039,77.01346602674556,12.295912934640446,95.94202898550724,97.77551962070436,76.89286278759963,75.86578923936881,1.7425485880697331
xgb,100.0,100.0,100.0,100.0,0.0,95.63192904656322,97.60515556298184,74.9567567859788,73.57503963947144,15.394311129347589,94.4927536231884,96.95657754010696,71.07692307692307,68.23919502369827,4.196568764567041
svcrbf,96.99645928174004,98.31061751930989,86.47185607185607,85.25771455509532,1.1187108725437591,94.17442719881744,96.73643205785896,72.85349520643639,69.84128831347743,7.893096778681357,93.42995169082126,96.31548885776458,69.67151974969886,66.1954437085055,2.664737992360508
svclin,99.93934795603992,99.9662447257384,99.70147591200222,99.66909149974774,0.4531319590740595,95.02365114560236,97.22606880970676,75.66128466128467,73.21318139033708,9.204004437674016,94.78260869565216,97.10101781791016,73.87905892557055,71.10615327753558,4.922996119503563
logistic,98.39187014300823,99.0980158976279,92.59299386059948,91.99470962049178,1.20551792840454,93.93052475979304,96.58262143409816,72.81020733652312,69.84678599930311,7.851563098188457,93.81642512077296,96.52728477796596,71.77949709864603,68.57315064571019,4.247906346802598
random,100.0,100.0,100.0,100.0,0.0,95.02439024390245,97.31010343819229,66.73435260391781,68.98779032800209,6.537452216952402,95.36231884057972,97.48470442329317,70.28958944281526,71.80800755753782,3.023065017141108
knn,96.96606428472892,98.32658772674208,83.75292627648741,82.45420433621885,2.799422198105266,96.11529933481152,97.8715083785454,77.68830650254452,76.8000909375816,8.68331299548591,96.1352657004831,97.87147124163224,79.01137980085348,77.49353612372269,3.146120551303997
