Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
svcrbf,100.0,100.0,100.0,100.0,0.0,89.18003565062388,89.80258956729544,88.40289715845888,79.36325318294175,11.379690684417444,80.95238095238095,84.01344537815126,76.42780748663104,66.96329006912364,2.6393549240772525,1.0,0
svclin,100.0,100.0,100.0,100.0,0.0,89.76827094474153,89.68216318785579,89.8298319327731,79.80523599244859,5.098964758608964,84.28571428571429,85.33770682319614,83.02695318998272,69.43541158643872,5.264027405862975,1.0,0
logistic,100.0,100.0,100.0,100.0,0.0,90.98039215686276,90.9024064171123,91.04946524064172,82.1150920696843,5.720647065296177,86.66666666666667,87.6475392220073,85.4982674982675,74.25605578753216,5.99771948399417,1.0,0
random,100.0,100.0,100.0,100.0,0.0,90.98039215686272,91.07330827067668,90.80581910183427,82.55267717797665,8.078324534775449,83.80952380952382,85.1887982507779,82.11664295874823,68.99802062781416,4.328823520458048,1.0,0
knn,100.0,100.0,100.0,100.0,0.0,83.15508021390374,81.61229649105067,84.42377442377442,67.11612391497256,9.510198938664844,78.57142857142857,76.92774671787717,79.88868104415829,57.90980756937815,6.290103583778179,1.0,0
svcrbf,100.0,100.0,100.0,100.0,0.0,89.55918367346939,92.46035652015694,82.99258435298479,76.64107724002217,7.955149510412106,88.57142857142858,92.03418803418802,79.77777777777777,74.50904508309549,3.3757381636335646,2.0,0
svclin,100.0,100.0,100.0,100.0,0.0,89.15918367346939,91.92269906847912,83.45276497695853,75.7936058269879,8.670497997923313,89.2063492063492,91.85830429732869,83.98268398268398,75.88239595629629,6.257511536829751,2.0,0
logistic,100.0,100.0,100.0,100.0,0.0,89.54285714285714,92.04603806288848,84.58490308490308,77.51940896173991,6.949786326477916,92.38095238095238,94.29584823562377,88.51616562677255,82.90736778197416,5.132494419919666,2.0,0
random,99.79899497487438,99.8496219348456,99.6969523044252,99.54912809510624,0.6173891920872272,91.57551020408164,94.00207039337477,85.81736320779703,81.2038704030842,5.570424676712967,92.06349206349203,94.22982413007912,87.26433026433025,82.09297237041935,2.64646977481085,2.0,0
knn,100.0,100.0,100.0,100.0,0.0,84.70204081632653,88.17562395139534,78.20600486634642,67.14612634966991,14.252464441535018,87.93650793650792,90.78640324775223,82.48821931970716,73.4919617929223,4.493141167845934,2.0,0
