Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svcrbf,99.6359497861774,99.79726864317908,98.21778326413047,98.0258121974113,0.7293553627239158,97.20768662232078,98.46463905715676,84.55535491575536,83.8250228505002,4.623613621900759,94.78260869565216,97.14284084950994,69.98112398112397,68.39802643001353,1.4163197793715296
svclin,99.02906147974434,99.45739484045464,95.38839940553196,94.95819319689924,1.1920937715578328,94.1759053954176,96.7294245644761,73.28557063851183,70.54565672502363,7.955135739713214,94.1062801932367,96.71416130437832,71.40359923683803,68.17165817667454,2.632647986728432
logistic,97.48181358348278,98.58371670407767,88.65306733313568,87.72405668988726,0.9224762940890302,93.44419807834444,96.28463092371176,71.99051490514906,69.41143340468349,11.418561029842875,93.14009661835748,96.15586318025342,68.16161616161617,64.47418929411842,2.0403683619385946
random,100.0,100.0,100.0,100.0,0.0,91.01921655580192,95.24481068270124,18.928104575163395,30.19915412446924,9.091518515328474,91.40096618357488,95.43390716673908,26.27826086956522,37.02581197659031,5.125899934903758
knn,97.54246562744288,98.64750802995243,86.56749311294763,85.76791530404361,0.7385179451949017,96.23725055432372,97.93387783321874,78.86892843900631,77.72087570930044,7.454426632204692,94.68599033816425,97.10121911518917,68.11187505305152,67.24865256498079,4.295135587232848
xgb,100.0,100.0,100.0,100.0,0.0,95.38950480413894,97.47900531523864,72.97617802623365,72.04449540569018,9.43274783238938,94.10628019323671,96.78736578563702,64.33613445378151,63.385068640864674,6.410029627498308
svcrbf,99.72690486044053,99.84798703493892,98.6576889763896,98.51445243484596,0.371645312650762,96.96747967479676,98.326335758085,83.79244912648042,82.42663112977434,9.24440649643818,94.87922705314008,97.17900709219856,72.28070175438596,69.92077817792571,3.6163984368685775
svclin,98.75605830689292,99.30342853924084,94.192172782601,93.7042308177692,1.4152700122693862,93.93348115299337,96.61311156488482,70.72798605056668,67.54433298075871,11.69384939759517,93.42995169082126,96.3078610509111,70.19146132929666,66.80472571955993,3.437353901260403
logistic,97.26950843794546,98.46308049816204,87.77471498723943,86.7666964339758,2.8488446195151624,93.44641537324463,96.28163510102765,72.19495692683107,69.56436286049647,6.257589368522114,91.9806763285024,95.4762073372286,64.6985815602837,60.68505138451961,2.106461616689881
random,100.0,100.0,100.0,100.0,0.0,91.38433111603844,95.4301877917731,24.145363408521305,32.17189684564,18.65346313704139,91.78743961352656,95.63007283973016,31.89230769230769,41.64833684437742,3.798445881034775
