Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svcrbf,99.86506426325144,99.86486484076552,99.86526306219608,99.7305255028662,0.0920541357477828,96.96526237989652,98.3361025625274,82.62495568947182,82.15834969070738,9.141101107250233,95.3623188405797,97.4683998180735,72.39402427637722,71.85957345279083,1.7637168026567926
svclin,99.73015701198668,99.72930090456023,99.73100726867511,99.46200872851269,0.248783741249239,94.1759053954176,96.7306068143274,73.04605847473779,70.42752750439655,3.325780981801435,94.58937198067632,97.00025743612689,72.23646854981004,69.76604247394339,5.523305588231805
logistic,98.44816781368212,98.44780522321255,98.44849316296514,96.89865155166564,0.5528054880291812,94.05173688100516,96.64042977118169,73.83716907389791,71.45672836344775,8.42886156475367,92.94685990338164,96.06437669736512,66.05355884425651,62.15833810242276,1.955132744812408
random,100.0,100.0,100.0,100.0,0.0,93.81152993348114,96.66981840819552,56.238735177865614,59.88590659878077,7.095299562067304,94.68599033816425,97.1249299413558,64.95967741935485,67.00644719994145,2.5227222244258125
knn,91.78455858894309,91.04181742456772,92.412795974496,84.72750542765375,1.478352938497442,78.40280857354028,86.44800372799584,46.51005045188101,45.7001203056872,3.702705257701692,80.8695652173913,88.34343958905154,46.37549837549837,43.03810243824477,6.326127110384419
xgb,100.0,100.0,100.0,100.0,0.0,95.0229120473023,97.22889341757988,75.50401069518716,73.0270287031894,10.883710533703349,93.91304347826087,96.64311229000884,67.38738738738739,64.39383620296817,4.534565423858382
svcrbf,99.9662447017,99.96621619211687,99.96627316320618,99.9325462784164,0.0923648669689039,97.209903917221,98.46767650645184,84.31739811912226,83.4369079204989,10.88701883611222,94.975845410628,97.23714656583329,72.31863442389758,70.1880120619976,1.8486576531419567
svclin,99.61205619616244,99.61047077644358,99.61362825680456,99.22724327009468,0.1905442977220796,93.8130081300813,96.53635389676133,70.67842885330153,67.63579601459035,11.840681568315192,93.91304347826087,96.598771952325,71.02691119934454,67.72192785644644,3.421194277364125
logistic,98.12764914999316,98.12765715754615,98.12756850320596,96.25882217622387,0.6096745186010866,94.29785661492978,96.78744119332944,74.25078178815394,71.70222099353792,9.536555171064505,92.94685990338164,96.0468531403524,67.2999969359929,63.51454916218914,1.9384583780220808
random,100.0,100.0,100.0,100.0,0.0,95.2668144863267,97.43862057370404,68.61767861767862,70.56529908080012,7.3865356686907315,94.4927536231884,97.02702725793884,62.65322580645161,65.58164380666946,3.1630341310947605
knn,91.09338681008158,90.22201764364206,91.82118591600626,83.50998917332319,1.3814921795483863,78.27937915742794,86.435977929897,45.28782167839513,43.66186550956186,6.151768987402077,75.7487922705314,84.43226951195231,45.10607664332628,45.47898593268464,2.17199140888844
xgb,100.0,100.0,100.0,100.0,0.0,94.53954175905396,96.9762910711427,71.68013297272933,68.84701009234628,6.703333086305929,94.10628019323671,96.75344499328445,68.04176241018345,65.2744561925368,4.708244785446166
