,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
0,0.75,0.04281332398719392,1.623776739188721,500,3,0.30000000000000004,0.75,36,0.794267106384895,0.07642343009954837,1.0,0.0
1,1.0,0.8858667904100823,0.4832930238571752,700,7,0.1,0.625,42,0.7913016084017148,0.08322843317337614,1.0,0.0
2,0.5,1.623776739188721,5.455594781168514,500,3,0.7000000000000001,0.875,135,0.7292180537812051,0.04426062724962878,0.9853273765002382,0.007924587929228365
3,0.875,0.0006158482110660267,1.623776739188721,200,5,0.8,0.875,165,0.6930613646633231,0.0692320792863492,0.9983565049231631,0.0032869901536739295
4,1.0,0.023357214690901212,0.00379269019073225,600,6,0.7000000000000001,0.875,85,0.7589414023607055,0.07332231771908483,1.0,0.0
5,0.75,0.0006158482110660267,5.455594781168514,400,5,0.6,0.75,138,0.7272949012314678,0.0453425291146647,0.9933597351461062,0.003320408109895577
6,0.75,0.26366508987303583,0.14384498882876628,300,3,0.8,0.75,103,0.7515463425429025,0.07069840540983804,1.0,0.0
7,0.75,0.0069519279617756054,0.04281332398719392,400,3,0.5,1.0,40,0.7921381698101003,0.030292848565057148,1.0,0.0
8,0.5,0.0001,0.07847599703514607,100,4,0.7000000000000001,0.5,189,0.6418720126090751,0.10437901948620937,1.0,0.0
9,0.875,0.0069519279617756054,2.9763514416313193,400,6,0.1,1.0,38,0.7940143529592841,0.08624810144472568,1.0,0.0
10,0.625,1.623776739188721,0.8858667904100823,300,3,0.7000000000000001,0.5,71,0.7690091710991,0.05929301164572409,1.0,0.0
11,0.75,0.00206913808111479,0.04281332398719392,300,4,0.4,1.0,98,0.7542993589165686,0.09578537268613513,1.0,0.0
12,1.0,0.26366508987303583,0.0006158482110660267,200,5,0.7000000000000001,0.875,115,0.7424195908859248,0.0784353481999627,1.0,0.0
13,0.875,0.0001,0.0069519279617756054,100,5,0.30000000000000004,0.625,86,0.7586513797075932,0.0644464403731011,1.0,0.0
14,0.875,0.00206913808111479,0.0001,400,7,0.7000000000000001,1.0,167,0.6907005656910827,0.0859944823018329,1.0,0.0
15,0.875,10.0,0.0003359818286283781,700,6,0.9,0.5,28,0.7995296527940365,0.09760027709496598,1.0,0.0
