,gamma,C,rank,test_means,test_stds,train_means,train_stds
0,0.963,0.1876,41,0.3224426747280562,0.07800349612364885,0.9983119250843224,0.003376149831355058
1,2.247,1.0719,54,0.24597855251219455,0.12813673220770375,1.0,0.0
2,4.095000000000001,3.8045000000000004,132,0.2074052671304964,0.11141421836488191,1.0,0.0
3,0.442,3.0880000000000005,13,0.6831003957865743,0.11396362848575745,1.0,0.0
4,1.89,3.9257000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
5,0.707,0.885,26,0.5217353046804997,0.09179272426767204,1.0,0.0
6,2.62,4.0761,101,0.2266919098213455,0.12160612518967813,1.0,0.0
7,4.812,4.9742,183,0.18746288996036223,0.09379725397757405,1.0,0.0
8,2.831,0.07940000000000001,197,0.0,0.0,0.0,0.0
9,1.845,4.3351,54,0.24597855251219455,0.12813673220770375,1.0,0.0
10,2.073,1.6893,54,0.24597855251219455,0.12813673220770375,1.0,0.0
11,2.906,3.2616000000000005,101,0.2266919098213455,0.12160612518967813,1.0,0.0
12,2.979,1.3534000000000002,101,0.2266919098213455,0.12160612518967813,1.0,0.0
13,4.378,0.41350000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
14,2.035,4.7642,54,0.24597855251219455,0.12813673220770375,1.0,0.0
15,1.759,2.3002000000000002,54,0.24597855251219455,0.12813673220770375,1.0,0.0
16,4.078,4.2175,132,0.2074052671304964,0.11141421836488191,1.0,0.0
17,4.444000000000001,0.42,132,0.2074052671304964,0.11141421836488191,1.0,0.0
18,0.461,2.3651000000000004,16,0.6655695307797194,0.11540927198843665,1.0,0.0
19,4.812,2.9189000000000003,183,0.18746288996036223,0.09379725397757405,1.0,0.0
20,2.772,1.5808,101,0.2266919098213455,0.12160612518967813,1.0,0.0
21,1.1989999999999998,2.1884,52,0.29205876453147406,0.04736114648022133,1.0,0.0
22,1.3739999999999999,1.4656,54,0.24597855251219455,0.12813673220770375,1.0,0.0
